,Ensembl transcript ID that has SL not supported by MSMS,SL
0,ENST00000372616,n
1,ENST00000372616,n
2,ENST00000372616,n
3,ENST00000372616,m
4,ENST00000372616,m
5,ENST00000372616,m
6,ENST00000372616,n
7,ENST00000372616,n
8,ENST00000372616,m
9,ENST00000372616,m
10,ENST00000220764,c
11,ENST00000544913,m
12,ENST00000576983,n
13,ENST00000380649,n
14,ENST00000380649,n
15,ENST00000380649,n
16,ENST00000615355,m
17,ENST00000615355,n
18,ENST00000615355,m
19,ENST00000615355,n
20,ENST00000579847,n
21,ENST00000619865,n
22,ENST00000636743,n
23,ENST00000636743,n
24,ENST00000636743,n
25,ENST00000636743,n
26,ENST00000636743,n
27,ENST00000636743,n
28,ENST00000636743,n
29,ENST00000307144,m
30,ENST00000396213,m
31,ENST00000439227,n
32,ENST00000491621,n
33,ENST00000507917,n
34,ENST00000439817,n
35,ENST00000428458,c
36,ENST00000428458,c
37,ENST00000428458,n
38,ENST00000428458,n
39,ENST00000311337,n
40,ENST00000495834,m
41,ENST00000537713,n
42,ENST00000392518,c
43,ENST00000392518,n
44,ENST00000342741,m
45,ENST00000226299,m
46,ENST00000569798,m
47,ENST00000291565,c
48,ENST00000413268,m
49,ENST00000413268,n
50,ENST00000406590,m
51,ENST00000263276,n
52,ENST00000263276,n
53,ENST00000263276,c
54,ENST00000263276,c
55,ENST00000370631,n
56,ENST00000546020,n
57,ENST00000546020,m
58,ENST00000497883,n
59,ENST00000322776,m
60,ENST00000322776,m
61,ENST00000380668,n
62,ENST00000570258,m
63,ENST00000476176,m
64,ENST00000476176,m
65,ENST00000476176,m
66,ENST00000476176,m
67,ENST00000476176,m
68,ENST00000476176,m
69,ENST00000205402,n
70,ENST00000264193,n
71,ENST00000361538,n
72,ENST00000361538,c
73,ENST00000422569,m
74,ENST00000409908,n
75,ENST00000409908,m
76,ENST00000539780,n
77,ENST00000374490,c
78,ENST00000326637,c
79,ENST00000233114,m
80,ENST00000233114,n
81,ENST00000555709,m
82,ENST00000555709,n
83,ENST00000555709,m
84,ENST00000555709,n
85,ENST00000588734,c
86,ENST00000588734,m
87,ENST00000358186,n
88,ENST00000273398,n
89,ENST00000381839,m
90,ENST00000381839,m
91,ENST00000381839,m
92,ENST00000398870,n
93,ENST00000381831,m
94,ENST00000381831,m
95,ENST00000381831,m
96,ENST00000357068,m
97,ENST00000559935,n
98,ENST00000559935,m
99,ENST00000393614,n
100,ENST00000535809,m
101,ENST00000535809,m
102,ENST00000505164,m
103,ENST00000505164,n
104,ENST00000505164,m
105,ENST00000505164,n
106,ENST00000276390,m
107,ENST00000262039,n
108,ENST00000559540,n
109,ENST00000316423,n
110,ENST00000371486,m
111,ENST00000371486,n
112,ENST00000395319,n
113,ENST00000395319,m
114,ENST00000377432,c
115,ENST00000377432,c
116,ENST00000219700,m
117,ENST00000402667,n
118,ENST00000361915,c
119,ENST00000361915,c
120,ENST00000361915,n
121,ENST00000361915,n
122,ENST00000357308,m
123,ENST00000357308,n
124,ENST00000381815,m
125,ENST00000381815,m
126,ENST00000381815,m
127,ENST00000325110,n
128,ENST00000325110,m
129,ENST00000595530,n
130,ENST00000458503,n
131,ENST00000458503,m
132,ENST00000373156,m
133,ENST00000509756,n
134,ENST00000370165,c
135,ENST00000370165,n
136,ENST00000530908,n
137,ENST00000530908,m
138,ENST00000530908,n
139,ENST00000530908,m
140,ENST00000530908,n
141,ENST00000530908,m
142,ENST00000606142,n
143,ENST00000401419,c
144,ENST00000401419,n
145,ENST00000349048,n
146,ENST00000439645,n
147,ENST00000467648,n
148,ENST00000341116,c
149,ENST00000341116,n
150,ENST00000443614,n
151,ENST00000443614,n
152,ENST00000443614,n
153,ENST00000443614,m
154,ENST00000443614,m
155,ENST00000443614,m
156,ENST00000575120,m
157,ENST00000627653,m
158,ENST00000627653,m
159,ENST00000627653,m
160,ENST00000627653,n
161,ENST00000627653,n
162,ENST00000627653,n
163,ENST00000480143,m
164,ENST00000361060,m
165,ENST00000612895,n
166,ENST00000612895,n
167,ENST00000545482,n
168,ENST00000359276,m
169,ENST00000359276,m
170,ENST00000359276,m
171,ENST00000359276,m
172,ENST00000359276,m
173,ENST00000292432,n
174,ENST00000378364,n
175,ENST00000378364,n
176,ENST00000233627,m
177,ENST00000233627,n
178,ENST00000233627,m
179,ENST00000233627,n
180,ENST00000376588,n
181,ENST00000487418,c
182,ENST00000468090,c
183,ENST00000455662,m
184,ENST00000455662,n
185,ENST00000225614,n
186,ENST00000225614,m
187,ENST00000372070,m
188,ENST00000372070,m
189,ENST00000372070,m
190,ENST00000372079,n
191,ENST00000354940,m
192,ENST00000354940,n
193,ENST00000446544,n
194,ENST00000446544,m
195,ENST00000367048,m
196,ENST00000217901,m
197,ENST00000357797,n
198,ENST00000379805,m
199,ENST00000409882,n
200,ENST00000369799,n
201,ENST00000369799,m
202,ENST00000503506,m
203,ENST00000503506,n
204,ENST00000307227,n
205,ENST00000266971,n
206,ENST00000413079,n
207,ENST00000285518,m
208,ENST00000337943,m
209,ENST00000337943,m
210,ENST00000336097,m
211,ENST00000336097,n
212,ENST00000610940,m
213,ENST00000525566,m
214,ENST00000592699,c
215,ENST00000529663,m
216,ENST00000201963,n
217,ENST00000315144,m
218,ENST00000315144,n
219,ENST00000488464,m
220,ENST00000317799,n
221,ENST00000538763,m
222,ENST00000392841,m
223,ENST00000414835,m
224,ENST00000414835,n
225,ENST00000414835,m
226,ENST00000414835,n
227,ENST00000380125,n
228,ENST00000380125,c
229,ENST00000351513,n
230,ENST00000442940,c
231,ENST00000264220,n
232,ENST00000529064,m
233,ENST00000392332,c
234,ENST00000392332,n
235,ENST00000637666,n
236,ENST00000637666,n
237,ENST00000565154,n
238,ENST00000423516,n
239,ENST00000528812,m
240,ENST00000528812,m
241,ENST00000528812,m
242,ENST00000526339,n
243,ENST00000526339,n
244,ENST00000613953,n
245,ENST00000376957,n
246,ENST00000439427,n
247,ENST00000439427,n
248,ENST00000439427,n
249,ENST00000424390,n
250,ENST00000552789,m
251,ENST00000552789,n
252,ENST00000375731,c
253,ENST00000553529,n
254,ENST00000559837,n
255,ENST00000456297,n
256,ENST00000248924,m
257,ENST00000248924,n
258,ENST00000508177,n
259,ENST00000631326,m
260,ENST00000631326,n
261,ENST00000393190,n
262,ENST00000244137,c
263,ENST00000244137,m
264,ENST00000233616,n
265,ENST00000233616,m
266,ENST00000313408,m
267,ENST00000313408,m
268,ENST00000428702,m
269,ENST00000428702,m
270,ENST00000428702,n
271,ENST00000428702,n
272,ENST00000529048,m
273,ENST00000394417,n
274,ENST00000348127,n
275,ENST00000342945,m
276,ENST00000264167,n
277,ENST00000395321,n
278,ENST00000395321,m
279,ENST00000327347,n
280,ENST00000216194,n
281,ENST00000216194,n
282,ENST00000501493,n
283,ENST00000238651,c
284,ENST00000238651,n
285,ENST00000455959,n
286,ENST00000359195,m
287,ENST00000359195,n
288,ENST00000544105,m
289,ENST00000544105,m
290,ENST00000568883,n
291,ENST00000568883,m
292,ENST00000530076,m
293,ENST00000530076,n
294,ENST00000430249,m
295,ENST00000448642,n
296,ENST00000340802,n
297,ENST00000340802,m
298,ENST00000314666,n
299,ENST00000497289,m
300,ENST00000497289,n
301,ENST00000590862,c
302,ENST00000590862,m
303,ENST00000557556,n
304,ENST00000557556,c
305,ENST00000380241,m
306,ENST00000380241,m
307,ENST00000380241,m
308,ENST00000380241,m
309,ENST00000380241,m
310,ENST00000546283,m
311,ENST00000546283,m
312,ENST00000443864,m
313,ENST00000443864,n
314,ENST00000556689,n
315,ENST00000473466,n
316,ENST00000515320,n
317,ENST00000515320,m
318,ENST00000515320,n
319,ENST00000515320,m
320,ENST00000515320,n
321,ENST00000515320,m
322,ENST00000381042,c
323,ENST00000381042,n
324,ENST00000412248,m
325,ENST00000412248,m
326,ENST00000412248,m
327,ENST00000328111,n
328,ENST00000558472,m
329,ENST00000394434,n
330,ENST00000392379,n
331,ENST00000392378,n
332,ENST00000546342,m
333,ENST00000487300,n
334,ENST00000487300,m
335,ENST00000013034,m
336,ENST00000013034,n
337,ENST00000465632,n
338,ENST00000535366,m
339,ENST00000535366,n
340,ENST00000559482,m
341,ENST00000559482,m
342,ENST00000559482,m
343,ENST00000598293,c
344,ENST00000598293,n
345,ENST00000586425,n
346,ENST00000341695,c
347,ENST00000455976,n
348,ENST00000534285,m
349,ENST00000534285,n
350,ENST00000462138,n
351,ENST00000398158,n
352,ENST00000398158,n
353,ENST00000548345,m
354,ENST00000359172,n
355,ENST00000393818,m
356,ENST00000393818,m
357,ENST00000548274,n
358,ENST00000540367,n
359,ENST00000540367,m
360,ENST00000616317,m
361,ENST00000616317,m
362,ENST00000474701,n
363,ENST00000474701,m
364,ENST00000562168,n
365,ENST00000325234,n
366,ENST00000323798,n
367,ENST00000323798,n
368,ENST00000323798,c
369,ENST00000323798,c
370,ENST00000537841,m
371,ENST00000444946,c
372,ENST00000444946,n
373,ENST00000553117,n
374,ENST00000553117,n
375,ENST00000553117,n
376,ENST00000553117,n
377,ENST00000553117,n
378,ENST00000553117,n
379,ENST00000553117,n
380,ENST00000474765,n
381,ENST00000618312,m
382,ENST00000256216,n
383,ENST00000256216,m
384,ENST00000256216,n
385,ENST00000256216,m
386,ENST00000256216,n
387,ENST00000256216,m
388,ENST00000300738,n
389,ENST00000339618,m
390,ENST00000339618,n
391,ENST00000301608,c
392,ENST00000301608,n
393,ENST00000636891,m
394,ENST00000636891,n
395,ENST00000465828,n
396,ENST00000465828,c
397,ENST00000377845,m
398,ENST00000377845,n
399,ENST00000527256,m
400,ENST00000396856,n
401,ENST00000459873,c
402,ENST00000459873,n
403,ENST00000396858,m
404,ENST00000396859,m
405,ENST00000396859,m
406,ENST00000393376,m
407,ENST00000393376,m
408,ENST00000393376,m
409,ENST00000393376,m
410,ENST00000418807,m
411,ENST00000418807,n
412,ENST00000413174,m
413,ENST00000413174,m
414,ENST00000354289,n
415,ENST00000354289,m
416,ENST00000338435,n
417,ENST00000263088,n
418,ENST00000263088,m
419,ENST00000350669,m
420,ENST00000538309,c
421,ENST00000538309,n
422,ENST00000535561,n
423,ENST00000535561,c
424,ENST00000246337,n
425,ENST00000321117,n
426,ENST00000419197,n
427,ENST00000360566,m
428,ENST00000360566,n
429,ENST00000579698,m
430,ENST00000579698,m
431,ENST00000361389,n
432,ENST00000361389,n
433,ENST00000361389,n
434,ENST00000526390,m
435,ENST00000307738,n
436,ENST00000307738,m
437,ENST00000304567,m
438,ENST00000345146,n
439,ENST00000345146,n
440,ENST00000345146,n
441,ENST00000424330,m
442,ENST00000424330,m
443,ENST00000424330,n
444,ENST00000424330,n
445,ENST00000443239,n
446,ENST00000409125,n
447,ENST00000596265,n
448,ENST00000443824,m
449,ENST00000443824,m
450,ENST00000443824,m
451,ENST00000443824,m
452,ENST00000443824,m
453,ENST00000353196,m
454,ENST00000439616,m
455,ENST00000369406,m
456,ENST00000403172,m
457,ENST00000403172,m
458,ENST00000432169,n
459,ENST00000432169,n
460,ENST00000519584,m
461,ENST00000537427,c
462,ENST00000537427,n
463,ENST00000354775,m
464,ENST00000354775,m
465,ENST00000354775,m
466,ENST00000354775,m
467,ENST00000595031,n
468,ENST00000595031,c
469,ENST00000460201,n
470,ENST00000325006,n
471,ENST00000325006,m
472,ENST00000330062,m
473,ENST00000330062,m
474,ENST00000330062,m
475,ENST00000395384,m
476,ENST00000427898,m
477,ENST00000400033,m
478,ENST00000400033,m
479,ENST00000611279,m
480,ENST00000611279,n
481,ENST00000374840,m
482,ENST00000609196,c
483,ENST00000609196,n
484,ENST00000482086,m
485,ENST00000455934,n
486,ENST00000455934,n
487,ENST00000300051,m
488,ENST00000300051,m
489,ENST00000557703,n
490,ENST00000618074,m
491,ENST00000618074,n
492,ENST00000577624,m
493,ENST00000577624,m
494,ENST00000216605,n
495,ENST00000216605,n
496,ENST00000216605,n
497,ENST00000264093,c
498,ENST00000437604,n
499,ENST00000466924,m
500,ENST00000278715,n
501,ENST00000441275,c
502,ENST00000441275,n
503,ENST00000491013,m
504,ENST00000491013,m
505,ENST00000350259,c
506,ENST00000350259,c
507,ENST00000350259,c
508,ENST00000350259,c
509,ENST00000624406,n
510,ENST00000624406,n
511,ENST00000556627,m
512,ENST00000556627,n
513,ENST00000556627,m
514,ENST00000556627,m
515,ENST00000556627,m
516,ENST00000556627,n
517,ENST00000556627,n
518,ENST00000556627,n
519,ENST00000319622,n
520,ENST00000356124,n
521,ENST00000361464,n
522,ENST00000378943,m
523,ENST00000378945,m
524,ENST00000378945,n
525,ENST00000378946,m
526,ENST00000378946,n
527,ENST00000359678,c
528,ENST00000359678,n
529,ENST00000505308,m
530,ENST00000505308,m
531,ENST00000398491,n
532,ENST00000445964,n
533,ENST00000445964,m
534,ENST00000312352,n
535,ENST00000294724,c
536,ENST00000294724,n
537,ENST00000470760,m
538,ENST00000442734,m
539,ENST00000442734,m
540,ENST00000442734,m
541,ENST00000243776,m
542,ENST00000243776,m
543,ENST00000268220,m
544,ENST00000268220,n
545,ENST00000529887,n
546,ENST00000292180,n
547,ENST00000292180,m
548,ENST00000447866,n
549,ENST00000447866,n
550,ENST00000402924,n
551,ENST00000402924,n
552,ENST00000402924,m
553,ENST00000402924,m
554,ENST00000522301,n
555,ENST00000522301,m
556,ENST00000544180,c
557,ENST00000544180,c
558,ENST00000544180,n
559,ENST00000544180,n
560,ENST00000437628,n
561,ENST00000437628,n
562,ENST00000437628,n
563,ENST00000396973,m
564,ENST00000396973,n
565,ENST00000586613,c
566,ENST00000586613,m
567,ENST00000402252,n
568,ENST00000402252,n
569,ENST00000402252,m
570,ENST00000402252,m
571,ENST00000196371,m
572,ENST00000553586,m
573,ENST00000553586,m
574,ENST00000553586,m
575,ENST00000553586,m
576,ENST00000399191,m
577,ENST00000399191,m
578,ENST00000399191,m
579,ENST00000507013,m
580,ENST00000507013,m
581,ENST00000507013,m
582,ENST00000507013,m
583,ENST00000507013,m
584,ENST00000507013,m
585,ENST00000507013,m
586,ENST00000507013,m
587,ENST00000420436,n
588,ENST00000264221,m
589,ENST00000264221,n
590,ENST00000264221,m
591,ENST00000264221,n
592,ENST00000414651,m
593,ENST00000414651,m
594,ENST00000636886,n
595,ENST00000636886,n
596,ENST00000636886,n
597,ENST00000636886,n
598,ENST00000636886,n
599,ENST00000636886,n
600,ENST00000636886,n
601,ENST00000343289,n
602,ENST00000542729,m
603,ENST00000334482,m
604,ENST00000524491,m
605,ENST00000326739,n
606,ENST00000439502,n
607,ENST00000540617,m
608,ENST00000521811,n
609,ENST00000356962,m
610,ENST00000480861,n
611,ENST00000539282,n
612,ENST00000539282,m
613,ENST00000373176,m
614,ENST00000216392,c
615,ENST00000216392,c
616,ENST00000216392,n
617,ENST00000216392,n
618,ENST00000563498,n
619,ENST00000393896,m
620,ENST00000369409,m
621,ENST00000536880,m
622,ENST00000503229,n
623,ENST00000503229,m
624,ENST00000510194,n
625,ENST00000328078,m
626,ENST00000328078,m
627,ENST00000450168,m
628,ENST00000450168,m
629,ENST00000269980,n
630,ENST00000361093,m
631,ENST00000359794,n
632,ENST00000636836,n
633,ENST00000526950,n
634,ENST00000526950,m
635,ENST00000519602,n
636,ENST00000519602,m
637,ENST00000427190,m
638,ENST00000367321,m
639,ENST00000367321,n
640,ENST00000506618,n
641,ENST00000471595,m
642,ENST00000613852,m
643,ENST00000613852,n
644,ENST00000320717,n
645,ENST00000540265,m
646,ENST00000378720,n
647,ENST00000306749,n
648,ENST00000306749,n
649,ENST00000306749,n
650,ENST00000306749,n
651,ENST00000306749,n
652,ENST00000306749,n
653,ENST00000306749,n
654,ENST00000505878,c
655,ENST00000505878,n
656,ENST00000545045,n
657,ENST00000176643,m
658,ENST00000176643,n
659,ENST00000558813,m
660,ENST00000558813,n
661,ENST00000557370,n
662,ENST00000535926,n
663,ENST00000535926,m
664,ENST00000535926,n
665,ENST00000535926,m
666,ENST00000626637,c
667,ENST00000626637,n
668,ENST00000368087,m
669,ENST00000327299,m
670,ENST00000567713,n
671,ENST00000620479,m
672,ENST00000620479,n
673,ENST00000620479,m
674,ENST00000620479,n
675,ENST00000397225,c
676,ENST00000397225,n
677,ENST00000370092,m
678,ENST00000370093,m
679,ENST00000293217,c
680,ENST00000293217,n
681,ENST00000338128,n
682,ENST00000405867,n
683,ENST00000449901,m
684,ENST00000446179,n
685,ENST00000446179,n
686,ENST00000446179,n
687,ENST00000222673,m
688,ENST00000222673,n
689,ENST00000446289,n
690,ENST00000252603,n
691,ENST00000252603,m
692,ENST00000554975,n
693,ENST00000551339,m
694,ENST00000551339,n
695,ENST00000529444,m
696,ENST00000368433,n
697,ENST00000368432,m
698,ENST00000368432,n
699,ENST00000561609,n
700,ENST00000561609,m
701,ENST00000377855,m
702,ENST00000354269,n
703,ENST00000551804,n
704,ENST00000538631,m
705,ENST00000334220,m
706,ENST00000635862,m
707,ENST00000635862,n
708,ENST00000457316,n
709,ENST00000530664,m
710,ENST00000530664,m
711,ENST00000530664,m
712,ENST00000381809,c
713,ENST00000417368,m
714,ENST00000417368,m
715,ENST00000417368,m
716,ENST00000417368,m
717,ENST00000570445,n
718,ENST00000619204,m
719,ENST00000619204,m
720,ENST00000394308,n
721,ENST00000394308,n
722,ENST00000394308,n
723,ENST00000394308,m
724,ENST00000394308,m
725,ENST00000394308,m
726,ENST00000394309,n
727,ENST00000394309,n
728,ENST00000394309,n
729,ENST00000394309,m
730,ENST00000394309,m
731,ENST00000394309,m
732,ENST00000352886,n
733,ENST00000376618,n
734,ENST00000376618,m
735,ENST00000372621,n
736,ENST00000372621,n
737,ENST00000372621,n
738,ENST00000372621,m
739,ENST00000372621,m
740,ENST00000372621,m
741,ENST00000372621,n
742,ENST00000372621,n
743,ENST00000372621,m
744,ENST00000372621,m
745,ENST00000522368,n
746,ENST00000301729,m
747,ENST00000216465,m
748,ENST00000216465,n
749,ENST00000216465,m
750,ENST00000216465,m
751,ENST00000216465,m
752,ENST00000216465,n
753,ENST00000216465,n
754,ENST00000216465,n
755,ENST00000321612,n
756,ENST00000368356,m
757,ENST00000368356,m
758,ENST00000450296,c
759,ENST00000450296,n
760,ENST00000399688,m
761,ENST00000399688,n
762,ENST00000399688,m
763,ENST00000399688,n
764,ENST00000504139,n
765,ENST00000539480,m
766,ENST00000539480,m
767,ENST00000369620,n
768,ENST00000369620,m
769,ENST00000636879,n
770,ENST00000636879,n
771,ENST00000636879,n
772,ENST00000636879,n
773,ENST00000636879,n
774,ENST00000636879,n
775,ENST00000636879,n
776,ENST00000584848,m
777,ENST00000584848,m
778,ENST00000584848,n
779,ENST00000584848,n
780,ENST00000290349,m
781,ENST00000290349,m
782,ENST00000290349,m
783,ENST00000555773,n
784,ENST00000428460,m
785,ENST00000428460,n
786,ENST00000440410,n
787,ENST00000559250,n
788,ENST00000394115,n
789,ENST00000539907,n
790,ENST00000539907,m
791,ENST00000578590,n
792,ENST00000578590,m
793,ENST00000435675,n
794,ENST00000435675,n
795,ENST00000323446,c
796,ENST00000323446,n
797,ENST00000279230,n
798,ENST00000444676,m
799,ENST00000444676,n
800,ENST00000351829,m
801,ENST00000351829,m
802,ENST00000351829,m
803,ENST00000450723,c
804,ENST00000450723,c
805,ENST00000450723,c
806,ENST00000450723,c
807,ENST00000579855,m
808,ENST00000579855,n
809,ENST00000517761,c
810,ENST00000613168,n
811,ENST00000613168,c
812,ENST00000626419,n
813,ENST00000617202,c
814,ENST00000617202,n
815,ENST00000355808,m
816,ENST00000529546,m
817,ENST00000560266,m
818,ENST00000216780,m
819,ENST00000216780,n
820,ENST00000280346,m
821,ENST00000623368,m
822,ENST00000623368,m
823,ENST00000623368,m
824,ENST00000504811,n
825,ENST00000504811,n
826,ENST00000405931,c
827,ENST00000405931,n
828,ENST00000360289,n
829,ENST00000637206,n
830,ENST00000637206,n
831,ENST00000637206,n
832,ENST00000637206,n
833,ENST00000637206,n
834,ENST00000637206,n
835,ENST00000637206,n
